Id,Prediction
0,4007595
1,3186281
2,3567815.5
3,4221639.5
4,4737456.5
5,4487801.5
6,2491167
7,5455973.5
8,4160813.25
9,3874796.75
10,5064268.5
11,5154301.5
12,7286463.5
13,9097124
14,4536598
15,4727603
16,4614034
17,3112065
18,5191367.5
19,4526113.5
20,3703672.5
21,3972343
22,5319650
23,4210643
24,4537284
25,4480092.5
26,3495133.25
27,5229466.5
28,3872067
29,7540360.5
30,6388580
31,2038619.125
32,3868138
33,4711841
34,4546276.5
35,3840886.5
36,3567815.5
37,5248341
38,3358263.25
39,5436592.5
40,5888371
41,4669342
42,4235882
43,4173739.75
44,5659201
45,3751721.5
46,4223514
47,3791837.5
48,4507889
49,5016194.5
50,4378889
51,4835022.5
52,5228620
53,4570283.5
54,3356836.5
55,5255829.5
56,4370860.5
57,5596810
58,4237006
59,4398608
60,3403443.5
61,4601665.5
62,3112628.5
63,3399988.75
64,4872182
65,4694359.5
66,4526113.5
67,6185617
68,4424792
69,3325036
70,3663389.75
71,4773748
72,4242025
73,3646223
74,6490005.5
75,4700724
76,4669342
77,5106401
78,4215719
79,3992567.75
80,4577986.5
81,3696252.5
82,5044714
83,3640507
84,5457828
85,3235197.5
86,5604548.5
87,4563849.5
88,5070298.5
89,4289205
90,6623875.5
91,3403484
92,3403443.5
93,6040672
94,5106401
95,4424792
96,5176774.5
97,4409412.5
98,3356194.5
99,4519603.5
100,4175613.75
101,3098333.5
102,3358183
103,3885160.75
104,3403443.5
105,2585255.25
106,5818883
107,4432192.5
108,4557357.5
109,5092602.5
110,3964881.25
111,6531279
112,4399206.5
113,4272532.5
114,3877424.75
115,5169046.5
116,3783735.25
117,5615920
118,3919967.5
119,4190398.25
120,4519552
121,5148919
122,3995132.75
123,6176259
124,4320559.5
125,2612076
126,4722870
127,3920599.25
128,4514839.5
129,4830355.5
130,2827435.5
131,5441090
132,5594692
133,3024399.75
134,2680334.25
135,3094792.75
136,3858268.75
137,2851793
138,6694249.5
139,4409412.5
140,4520829
141,3824412.5
142,4883034.5
143,2868784
144,3783735.25
145,2509804.25
146,4471471
147,3480614
148,3883286.5
149,4452509.5
150,3204690.5
151,4139665.25
152,5086238
153,5120529.5
154,4156954.25
155,4080407.5
156,4215719
157,5322241
158,3156790
159,3461900
160,4700724
161,3356194.5
162,2284025.5
163,8504126
164,6308405.5
165,3408155.75
166,4300459.5
167,4700724
168,4306633
169,4351306
170,4412132.5
171,3596569.25
172,3931982
173,4320432.5
174,5611405
175,4504149
176,4714850.5
177,4971886.5
178,4377631.5
179,5016194.5
180,3769950.5
181,3810614.25
182,4803640.5
183,4289205
184,3029706.25
185,4237312
186,3777022.5
187,6344505
188,5773298
189,3541509.5
190,4689659.5
191,4519552
192,5520790
193,8497200
194,4320432.5
195,7807118.5
196,4273825.5
197,3769288.75
198,4281252
199,3704679.5
200,3049417
201,5048294.5
202,4669342
203,5210807
204,4813320
205,4224791
206,3393426.75
207,3703295
208,2938044.75
209,4223514
210,4351306
211,4419671
212,3976213.5
213,3764815.25
214,4046640
215,2436773
216,3982206.5
217,4537880.5
218,4532478
219,3632007.75
220,4389249.5
221,3391930
222,4714677
223,4223514
224,5012055
225,3949109
226,4802149.5
227,6077549.5
228,4432192.5
229,6060192
230,4160813.25
231,5306357
232,7267367
233,3866854.75
234,4127940.5
235,4526113.5
236,3833770.75
237,4052548
238,4586639.5
239,5299576.5
240,4838998.5
241,3561953.75
242,3496420.75
243,4722332.5
244,5174158.5
245,5773298
246,4839955
247,4519552
248,4555042
249,4513558
250,4141797
251,5370622.5
252,5425338
253,3326313
254,3845342.5
255,3791625.5
256,4188679.25
257,4311847
258,1665651.375
259,3325036
260,5405847
261,8010763
262,5748281
263,5106401
264,2827435.5
265,4930843.5
266,4324342.5
267,5459105
268,4894745.5
269,3919967.5
270,3783735.25
271,3598322.5
272,4062524.25
273,4532478
274,4409412.5
275,7305065
276,6234132.5
277,5552174
278,4861747
279,3508116.25
280,4242025
281,5113258.5
282,3495143.75
283,3632007.75
284,5470754
285,2575337.25
286,4289205
287,2592340.5
288,6184731
289,5004626
290,5012055
291,4957015.5
292,4567504
293,6041960
294,2827435.5
295,5301298
296,4182314.75
297,5117620
298,3624720.5
299,5016194.5
300,4490262
301,4656416
302,4959331
303,4197494
304,5470754
305,4075638
306,3632007.75
307,5109121
308,3598322.5
309,4175613.75
310,5470754
311,2848430.25
312,4548996.5
313,3368773
314,3615058.25
315,4228606.5
316,4742449
317,5576319
318,4167213.5
319,4519552
320,5012055
321,3629287.5
322,4568715.5
323,7099121
324,3775297.75
325,5596810
326,5336884
327,4865213.5
328,5022548.5
329,7005254
330,6614669
331,4042342.25
332,4513558
333,5720125
334,5720125
335,3918034
336,2436773
337,3671234.75
338,5357946.5
339,4669342
340,5962623
341,4237312
342,4014245.75
343,4317553.5
344,4311847
345,3422369.5
346,5487272.5
347,5395147
348,2387656
349,4669342
350,3541509.5
351,5237827.5
352,5457828
353,4835022.5
354,3536433.5
355,7251399
356,4594315
357,5652952.5
358,4282807
359,4242025
360,4830355.5
361,4192132.25
362,4600438
363,4860951
364,8532286
365,5775864
366,2589135.5
367,4329198.5
368,3374403.75
369,4341985
370,3567815.5
371,4304040.5
372,4491730
373,6732282
374,3567815.5
375,4536070.5
376,2902600.75
377,4453787
378,4941711.5
379,5484552.5
380,4385626
381,3103254.5
382,3567815.5
383,3813960.5
384,3835479
385,5469465
386,4519552
387,4383965
388,3845342.5
389,5002580.5
390,4557495.5
391,3842103.75
392,4546276.5
393,3576820
394,5751507
395,4040313
396,3918034
397,4388782.5
398,5106401
399,4971886.5
400,2996897.5
401,3477977
402,3669228.25
403,3640507
404,3546712.25
405,4242025
406,4351306
407,3783735.25
408,2589135.5
409,3999012.5
410,3764815.25
411,4519552
412,4420614
413,4116470.25
414,4944689.5
415,5593584
416,7005254
417,3508942
418,4413409.5
419,4285738.5
420,4580378.5
421,4519552
422,4540262
423,4027877.5
424,4242025
425,4676199.5
426,4073779.5
427,4055268.25
428,4613913.5
429,3764815.25
430,3603679.75
431,3617883
432,3937313.75
433,5794294
434,3567815.5
435,4780441
436,5593774
437,2675073
438,5031489.5
439,5867644.5
440,4666776.5
441,4669342
442,3646223
443,4717713
444,5112714
445,7781136.5
446,5908090
447,4189411.75
448,3428133.25
449,10427998
450,5354825.5
451,3342390
452,5044714
453,6510283
454,4336045.5
455,3814248
456,3239909.75
457,3682299.25
458,4300459.5
459,2996897.5
460,4405467.5
461,4557495.5
462,4532478
463,3545019.75
464,3677096.5
465,3325036
466,4297832.5
467,3055354
468,3898645
469,4997448
470,3919967.5
471,4615929.5
472,2605019
473,4669342
474,3599605.75
475,3889640.5
476,3043555.25
477,4617820
478,3704679.5
479,5418999.5
480,4865213.5
481,10291134
482,2536056.25
483,3757429.25
484,6344505
485,4837588
486,5350408.5
487,8158846.5
488,4364713
489,3326313
490,4090297.25
491,3222676.25
492,5309879.5
493,5322241
494,3677096.5
495,4237312
496,4694359.5
497,5697243.5
498,2753507.25
499,4770767.5
500,4026514.75
501,3632007.75
502,3872067
503,6869667
504,5386648
505,4106438.25
506,4865213.5
507,5013332
508,4704368
509,3724997
510,4894745.5
511,4519552
512,2589135.5
513,4337495.5
514,2702564.5
515,3800253.75
516,3000811.5
517,4134001.75
518,4536265
519,4352583
520,4478158.5
521,5357946.5
522,5751507
523,4666309.5
524,3752770.25
525,4351306
526,6411395
527,3843882.75
528,4633311
529,4073779.5
530,3646854.75
531,5274647
532,3938192.25
533,4480092.5
534,4546276.5
535,4480092.5
536,3938192.25
537,3832897.5
538,4237312
539,4620755.5
540,2889738.25
541,3121047.25
542,4488170
543,3893733.75
544,3634634.75
545,3751721.5
546,3663389.75
547,5877289.5
548,3481618.75
549,3872067
550,4069066.5
551,3599605.75
552,4498321
553,3991554.5
554,4106438.25
555,4791085
556,2996897.5
557,4968156
558,4669888
559,3256237.75
560,4681804
561,5594692
562,4357657.5
563,4315511
564,3632007.75
565,5153995
566,3598322.5
567,4292091.5
568,5130408
569,4047380.25
570,8862200
571,6185617
572,4027877.5
573,4296605.5
574,4432192.5
575,3175504
576,10447718
577,5229466.5
578,2969116.25
579,4865213.5
580,4121679.25
581,4263312
582,5714119.5
583,3885160.75
584,2686429
585,5210807
586,3460982.25
587,3447470
588,4741401.5
589,5193268.5
590,3683561.25
591,3874787.25
592,3944024.75
593,5217673.5
594,4026514.75
595,3222676.25
596,5469465
597,5625215.5
598,3654813
599,7005254
600,4694359.5
601,4911430.5
602,4885430
603,3835472.75
604,4189411.75
605,3313631.5
606,3513421.5
607,3721388.25
608,3985214.25
609,4264805
610,5538375.5
611,3478608.75
612,3920599.25
613,6651458.5
614,4724883
615,4560774.5
616,4242025
617,5153058.5
618,6803204
619,3926937.25
620,4210643
621,7843375.5
622,4359402.5
623,4419671
624,5680725
625,5146763
626,4383965
627,5289582
628,3206444
629,4127940.5
630,5457828
631,5717140.5
632,5290859
633,4700724
634,2665754.25
635,4849329.5
636,4633903.5
637,4464851
638,4795397.5
639,5296340
640,3706578
641,3543683.5
642,3863452
643,4783431.5
644,3954715
645,3235197.5
646,6167742.5
647,4312477.5
648,5288416.5
649,3891333
650,3698608.75
651,3800253.75
652,5153058.5
653,3858268.75
654,5800022.5
655,6869667
656,3501844.5
657,4666776.5
658,5217500
659,3712407
660,5322241
661,4835022.5
662,4180974.75
663,3938196.5
664,4464851
665,3567815.5
666,6223561
667,4669342
668,3350511.25
669,4053825
670,5954470
671,5850983.5
672,5607618
673,3567815.5
674,3813241
675,4003725
676,5293721.5
677,4548996.5
678,3539071
679,4373870
680,3646223
681,4666776.5
682,4223514
683,4865213.5
684,3953434
685,4686939.5
686,4519552
687,3235197.5
688,4746232.5
689,2783561.25
690,2000099.5
691,3036444.5
692,4242025
693,4003725
694,4902203
695,2435757.75
696,4223514
697,6198543
698,4900600.5
699,4423764.5
700,5641734
701,3598322.5
702,3148988.75
703,5381550
704,4566594
705,4970814
706,5709043.5
707,3724997
708,4700724
709,4600438
710,5318569
711,4599489
712,3325036
713,3766568.5
714,3938196.5
715,4027877.5
716,3170397.5
717,5130408
718,4059172.25
719,4656416
720,4458437.5
721,6726022.5
722,6210206
723,4180093.75
724,3995132.75
725,4993544
726,3629287.5
727,4993544
728,2291668.25
729,4242025
730,3648148.25
731,3599605.75
732,4332794
733,10606604
734,4059232.75
735,5317165
736,5740425.5
737,3858268.75
738,4895849
739,4179462.25
740,4351306
741,4405467.5
742,3618610.75
743,5317165
744,4383965
745,4424792
746,4513536.5
747,5773298
748,5322241
749,3399569.5
750,5908090
751,4027877.5
752,3953434
753,3343750
754,3721388.25
755,3393707.75
756,3648148.25
757,4289205
758,4986055.5
759,5430585.5
760,4823436.5
761,4122078.25
762,3559388.5
763,3020530.25
764,5029993
765,5441944
766,4642956
767,4546276.5
768,3376557.5
769,4849329.5
770,4796545
771,3520161.5
772,4563843.5
773,4001410
774,3969761.75
775,5470754
776,3325036
777,4360377.5
778,3229984.25
779,4069066.5
780,4409412.5
781,5493533.5
782,5054962
783,4242025
784,4423764.5
785,5503413
786,4630651
787,3858268.75
788,6211483
789,4242025
790,3766568.5
791,4383965
792,2269385.5
793,3288209.25
794,3513419.25
795,5199855.5
796,4563843.5
797,3341113
798,3776596
799,3786469
800,5572179.5
801,8819598
802,4635180.5
803,3872067
804,3937313.75
805,3835479
806,4399206.5
807,3851905
808,4051885.25
809,2751938.25
810,4127940.5
811,3835472.75
812,3723316.25
813,4360377.5
814,3816968.25
815,6514594.5
816,4746053
817,4557495.5
818,5130408
819,3921861.25
820,4230960.5
821,3813960.5
822,4669342
823,3762941
824,3956469.75
825,3588038.75
826,4637905
827,4058305.5
828,4533755
829,3399569.5
830,4723273.5
831,5794294
832,7843375.5
833,4357566
834,4012556.25
835,3072300.25
836,2798138.75
837,4039396
838,3646854.75
839,2798138.75
840,4669342
841,3716914.75
842,5638913.5
843,4006087
844,3876500.5
845,4426572
846,6309682.5
847,3922307.75
848,3766568.5
849,4362476
850,4289205
851,4700724
852,7620536
853,3230275.25
854,4057894.75
855,4223514
856,6999110.5
857,4937284
858,2369485.5
859,3879264.5
860,4567718.5
861,4378889
862,4738529.5
863,3049417
864,6344505
865,8260681.5
866,3877424.75
867,5137783
868,4409412.5
869,4577986.5
870,2772373.5
871,6080056
872,3872067
873,3985214.25
874,3462028
875,5576319
876,3467611
877,4519552
878,4384537.5
879,5079676.5
880,3117243
881,3393707.75
882,6311631.5
883,4272532.5
884,4187537.25
885,4835022.5
886,2693933.75
887,4124715.75
888,3918034
889,6007566.5
890,4699435.5
891,4152186.75
892,4939013.5
893,4168454.75
894,4418393
895,4553474
896,4412132.5
897,3872067
898,3604052.75
899,5910162
900,3235197.5
901,7130455
902,3410706.25
